"Table with row headers in column A and column headers in rows 6, 7, and 8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table HINC-06. Income Distribution to $250,000 or More for Households: 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data reflect the implementation of an updated processing system that incorporates content from earlier questionnaire redesigns related to income, health insurance, and demographics.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/cps/techdocs/cpsmar18.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2018 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination.  Standard errors calculated using replicate weights),,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Races,,,White A.O.I.C.,,,White alone (1),,,"White alone, not Hispanic",,,Black A.O.I.C.,,,Black alone (2),,,Asian A.O.I.C.,,,Asian alone (3),,,Hispanic (any race),,
,Number,Mean Income,,Number,Mean Income,,Number,Mean Income,,Number,Mean Income,,Number,Mean Income,,Number,Mean Income,,Number,Mean Income,,Number,Mean Income,,Number,Mean Income,
Income of Household,,Dollars,Standard Error,,Dollars,Standard Error,,Dollars,Standard Error,,Dollars,Standard Error,,Dollars,Standard Error,,Dollars,Standard Error,,Dollars,Standard Error,,Dollars,Standard Error,,Dollars,Standard Error
....Total,"127,669","87,643",570,"101,974","91,246",631,"100,113","91,519",642,"84,706","95,759",706,"17,813","58,377",793,"17,019","58,029",821,"7,124","113,909","2,549","6,750","114,413","2,633","17,336","67,663",919
"Under $5,000","4,371","1,128",46,"2,815","1,173",61,"2,739","1,147",61,"2,154","1,155",75,"1,215","1,165",79,"1,186","1,138",79,295,739,166,280,656,170,676,"1,171",90
"$5,000 to  $9,999","3,295","7,933",45,"2,196","7,882",56,"2,154","7,881",57,"1,673","7,897",65,903,"8,113",67,883,"8,115",69,112,"7,660",204,107,"7,662",211,557,"7,800",91
"$10,000 to $14,999","5,825","12,319",36,"4,254","12,338",40,"4,142","12,341",40,"3,367","12,390",45,"1,335","12,280",61,"1,274","12,288",61,185,"12,049",153,172,"12,041",165,884,"12,098",79
"$15,000 to $19,999","6,047","17,260",33,"4,574","17,282",40,"4,494","17,286",41,"3,675","17,302",46,"1,205","17,144",64,"1,163","17,130",65,220,"17,393",120,214,"17,427",122,904,"17,198",68
"$20,000 to $24,999","6,097","22,224",32,"4,682","22,281",37,"4,579","22,279",37,"3,682","22,341",45,"1,122","22,110",74,"1,070","22,081",76,236,"21,864",133,217,"21,855",143,"1,022","22,009",71
"$25,000 to $29,999","5,738","27,038",34,"4,447","27,073",39,"4,333","27,082",39,"3,464","27,155",44,"1,003","26,888",69,963,"26,913",70,235,"26,808",153,215,"26,829",157,980,"26,767",69
"$30,000 to $34,999","6,100","32,018",34,"4,676","32,052",40,"4,575","32,052",40,"3,691","32,100",49,"1,139","31,900",64,"1,103","31,927",66,228,"31,979",171,206,"31,976",184,"1,001","31,872",70
"$35,000 to $39,999","5,720","37,060",36,"4,429","37,140",40,"4,354","37,142",41,"3,529","37,181",46,985,"36,819",77,948,"36,784",77,228,"36,821",165,218,"36,790",170,937,"36,924",70
